Question, Answer
What is the official name of Switzerland?, Swiss Confederation
What type of government does Switzerland have?, a federal directorial republic
What 3 geographical features divide Switzerland?, the Alps, the Swiss Plateau and the Jura
What is the population of Switzerland?, approximately 8 million
What is the traditional date of the establishment of the Swiss Confederation?, 1 August 1291
What year did Switzerland join the United Nations?, 2002
What country is the birthplace of the Red Cross?, Switzerland
In what year was Switzerland last involved in a war internationally?, 1815
What Swiss holiday is celebrated on August 1st every year?, Swiss National Day
Which four main linguistic and cultural regions make up Switzerland?, German, French, Italian and Romans
What is the predominant language in Switzerland?, German
What do the French Swiss call Switzerland?, Suisse
What do the German Swiss call Switzerland?, Schweiz
What do the Italian Swiss call Switzerland?, Svizzera
How does Switzerland rank worldwide in areas such as quality of life and civil liberties?, top
Which country has the highest nominal wealth per adult in the world according to Credit Suisse?, Switzerland
Which two Swiss cities have been ranked as having the highest quality of life in the world?, Zurich and Geneva
What is Switzerland's ranking for per capita gross domestic product on the IMF list?, eighth-highest
Where did the name Switzer originate from?, the Alemannic Schwiizer
What were the two earliest know cultural tribes in Switerland?, Hallstatt and La Tene
